,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
0,Toronto,25.57,117.62,13.29,7.16,8.78,4.95,2.69,2.11,3.48,3.51,4.04,4.08,15.84,16.45,18.13,4.42,1.74,4.40,4.64,3.88,3.41,3.17,2.30,16.37,3.23,3.84,17.64,3.33,159.56,4.57,1.79,31.71,1.99,28638.02,27080.09,176.58,0.46,75.78,64.39,24.01,15.35,1600.47,27149.02,83.72,52.29,126.49,141.77,2385.33,1968.86,3772.09,3176.91,13571.84,10003.85,4484.71,7.23,1,43.7417,-79.3733,Ontario,2794356
1,Montreal,20.45,92.05,13.29,8.18,8.18,4.93,2.43,1.89,2.99,3.88,4.00,3.96,15.73,15.28,17.50,4.37,2.06,4.29,4.79,2.54,2.70,2.87,2.32,16.37,3.31,3.71,15.35,3.57,96.14,4.08,1.79,42.19,2.03,30683.60,26724.86,110.52,0.51,65.63,40.96,19.35,15.35,921.15,11659.77,86.65,49.46,128.30,153.86,1442.90,1104.22,2548.29,1852.91,8376.13,4813.22,3897.04,7.47,1,45.5089,-73.5617,Quebec,1762949
2,Vancouver,25.06,115.06,12.27,7.16,9.20,5.24,2.68,2.44,3.02,3.60,4.75,4.94,17.51,15.90,20.29,4.35,1.97,4.75,4.82,3.71,2.75,3.15,2.65,20.45,3.44,4.07,19.43,3.17,131.43,3.84,1.97,37.12,2.18,30683.60,26442.04,126.86,0.36,86.87,63.81,15.59,17.39,1462.58,28694.92,80.99,52.26,120.54,158.16,2483.94,2073.86,4654.86,3231.17,13776.84,10905.80,4795.35,6.15,1,49.25,-123.1,British Columbia,662248
3,Calgary,25.57,86.94,12.27,7.16,8.18,5.18,2.42,2.11,2.39,3.01,3.55,4.00,15.01,14.50,19.14,5.31,2.01,4.84,5.22,3.05,3.62,3.34,2.25,15.35,3.52,3.95,16.37,3.68,114.55,4.08,1.97,35.80,1.74,28638.02,27323.63,261.55,0.28,88.80,81.41,27.82,15.58,1122.51,16393.81,74.62,60.80,104.58,140.64,1547.96,1246.31,2727.21,2076.84,4593.32,3658.45,5254.96,6.32,1,51.05,-114.0667,Alberta,1306784
4,Edmonton,25.57,92.05,12.27,7.16,8.18,5.23,2.51,2.39,2.72,3.06,4.21,3.71,14.84,15.37,18.45,5.23,1.92,4.68,5.06,2.77,2.43,3.31,2.32,15.35,2.83,3.70,17.39,3.57,102.27,3.78,1.68,30.68,1.74,30683.60,25252.85,261.37,0.36,81.54,64.83,20.20,15.35,981.87,82001.92,73.46,42.27,108.70,136.94,1251.55,1029.12,2118.80,1591.36,3036.50,2541.28,4696.17,6.65,1,53.5344,-113.4903,Alberta,1010899
5,Ottawa,25.57,86.94,12.27,7.16,9.20,5.08,2.70,2.01,2.55,3.01,4.18,4.02,15.41,16.01,16.70,4.80,1.67,4.04,4.64,2.29,2.48,2.72,2.08,15.35,3.16,3.06,15.35,3.78,126.57,4.08,1.90,24.55,1.97,29149.42,26445.31,165.57,0.29,82.14,72.24,32.87,15.35,1340.99,19688.64,73.57,50.04,108.87,147.22,1754.86,1380.76,2815.86,2224.56,6739.99,4990.83,4581.20,7.36,1,45.4247,-75.695,Ontario,1017449
6,Winnipeg,20.45,76.71,11.34,6.14,7.16,4.66,2.43,2.10,1.85,2.68,4.07,3.84,12.72,14.74,18.13,5.00,1.90,4.87,5.19,3.53,3.24,3.12,2.19,15.35,3.64,4.49,18.92,3.17,106.37,3.84,1.64,32.02,1.93,27615.24,26480.82,200.54,0.39,83.75,45.83,29.92,14.32,726.94,17110.54,60.82,42.50,100.28,130.99,1128.66,1164.29,1861.70,1788.37,4193.42,3656.46,2960.97,6.21,1,49.8844,-97.1464,Manitoba,749607
7,Quebec City,20.53,81.82,13.29,7.16,7.16,4.80,2.14,1.55,2.13,3.35,4.53,3.66,16.42,12.27,18.98,3.96,1.88,3.77,4.69,3.35,2.17,2.35,1.31,15.35,2.13,3.51,14.32,3.57,91.02,3.57,1.79,39.88,1.99,25569.66,22184.25,133.29,0.46,70.35,50.34,38.86,14.32,914.31,8740.70,74.44,45.13,105.47,140.64,996.26,811.58,1715.13,1283.14,10675.82,2418.89,4156.66,6.98,1,46.8139,-71.2081,Quebec,549459
8,Kitchener,20.45,100.23,12.27,5.12,5.88,3.41,1.68,1.93,2.44,3.23,3.70,4.02,15.88,14.77,21.47,4.02,1.52,5.18,5.42,2.04,2.44,2.55,2.03,15.35,3.24,5.04,15.35,3.67,92.05,3.57,2.15,35.80,1.95,25760.93,26186.26,209.83,0.26,78.74,43.21,23.02,15.35,1125.06,0.00,61.58,47.31,91.91,130.12,1779.22,1600.07,2457.52,2277.40,8233.20,7812.33,4649.25,8.69,1,43.4186,-80.4728,Ontario,256885
9,Halifax,20.45,92.05,12.27,7.16,7.16,4.87,2.46,2.35,2.48,3.12,5.93,4.71,12.96,15.77,15.83,5.27,2.29,5.15,5.38,3.62,3.48,3.59,1.97,20.45,3.86,4.53,19.43,2.82,84.37,3.84,1.79,30.68,1.96,30683.60,27767.73,193.89,0.22,104.62,61.15,23.18,15.35,899.19,17643.07,91.11,50.25,122.67,142.00,1680.08,1342.82,2649.26,2076.71,5195.18,2897.89,4239.57,6.39,1,44.6475,-63.5906,Nova Scotia,439819
